"번호","사업장명","소재지전체주소","도로명전체주소","인허가일자","영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지면적","소재지우편번호","건물소유구분명","급수시설구분명","년도","다중이용업소여부","시설총규모","위생업종명","위생업태명","총종업원수","전화번호","위치정보(X)","위치정보(Y)","인허가번호","상세영업상태명","기준일"
"396","멕시칼리(MEXICALI)","서울특별시 영등포구 여의도동 8번지 여의도한강공원 이벤트광장 일대   스트라스부르와 함께하는 2017 서울 크리스마스 마켓 ","서울특별시 영등포구 여의동로 330 여의도한강공원 이벤트광장 일대   스트라스부르와 함께하는 2017 서울 크리스마스 마켓 (여의도동)","2017-12-12","운영중","","","","","9.00","150010","","","2017","N","9","휴게음식점","푸드트럭","","","194130.21270900000  ","447430.46500200000  ","3180000-104-2017-00340","영업","2018-04-26"
"397","리버풀야채곱창","서울특별시 영등포구 여의도동 8번지 한강사업본부 여의도안내센터 ","서울특별시 영등포구 여의동로 330 한강사업본부 여의도안내센터 (여의도동)","2017-12-12","운영중","","","","","3.30","150010","","","2017","N","3.3","휴게음식점","푸드트럭","","","194130.21270900000  ","447430.46500200000  ","3180000-104-2017-00341","영업","2018-04-26"
"398","팝pop닭꼬치양꼬치","","서울특별시 마포구 증산로 87 (성산동 마포 문화비축기지)","2017-09-28","운영중","","","","","2.00","","","","2017","N","2","휴게음식점","푸드트럭","","","190726.82155000000  ","452316.92635700000  ","3130000-104-2017-00361","영업","2018-04-26"
"399","카쏠래푸드트럭","서울특별시 마포구 성산동 661번지 ","서울특별시 마포구 증산로 87 (성산동 마포 문화비축기지)","2017-09-28","운영중","","","","","25.00","121250","","","2017","N","25","휴게음식점","푸드트럭","","","190726.82155000000  ","452316.92635700000  ","3130000-104-2017-00362","영업","2018-04-26"
"400","엉클스크레페","서울특별시 마포구 성산동 533-1번지 ","서울특별시 마포구 월드컵로 235 (성산동 마포농수산물시장내)","2017-10-23","운영중","","","","","11.50","121849","","","2017","N","11.5","휴게음식점","푸드트럭","","","191031.13794300000  ","451745.28087500000  ","3130000-104-2017-00386","영업","2018-04-26"
"401","맛난쌀핫도그","서울특별시 마포구 성산동 533-1번지 ","서울특별시 마포구 월드컵로 235 (성산동 마포농수산물시장내)","2017-09-12","운영중","","","","","11.50","121849","","","2017","N","11.5","휴게음식점","푸드트럭","","","191031.13794300000  ","451745.28087500000  ","3130000-104-2017-00336","영업","2018-04-26"
"402","로스타","서울특별시 영등포구 여의도동 8번지 여의도한강공원 이벤트광장 일대   스트라스부르와 함께하는 2017 서울 크리스마스 마켓 ","서울특별시 영등포구 여의동로 330 여의도한강공원 이벤트광장 일대   스트라스부르와 함께하는 2017 서울 크리스마스 마켓 (여의도동)","2017-12-12","운영중","","","","","9.00","150010","","","2017","N","9","휴게음식점","푸드트럭","","","194130.21270900000  ","447430.46500200000  ","3180000-104-2017-00342","영업","2018-04-26"
"403","오버도즈커피","서울특별시 영등포구 여의도동 8번지 여의도한강공원 이벤트광장 일대   스트라스부르와 함께하는 2017 서울 크리스마스 마켓 ","서울특별시 영등포구 여의동로 330 여의도한강공원 이벤트광장 일대   스트라스부르와 함께하는 2017 서울 크리스마스 마켓 (여의도동)","2017-12-12","운영중","","","","","9.00","150010","","","2017","N","9","휴게음식점","푸드트럭","","","194130.21270900000  ","447430.46500200000  ","3180000-104-2017-00343","영업","2018-04-26"
"404","와사바리","서울특별시 영등포구 여의도동 8번지 여의도한강공원 이벤트광장 일대   스트라스부르와 함께하는 2017 서울 크리스마스 마켓 ","서울특별시 영등포구 여의동로 330 여의도한강공원 이벤트광장 일대   스트라스부르와 함께하는 2017 서울 크리스마스 마켓 (여의도동)","2017-12-12","운영중","","","","","9.00","150010","","","2017","N","9","휴게음식점","푸드트럭","","","194130.21270900000  ","447430.46500200000  ","3180000-104-2017-00344","영업","2018-04-26"
"405","즐잼","서울특별시 영등포구 여의도동 8번지 여의도한강공원 이벤트광장 일대   스트라스부르와 함께하는 2017 서울 크리스마스 마켓 ","서울특별시 영등포구 여의동로 330 여의도한강공원 이벤트광장 일대   스트라스부르와 함께하는 2017 서울 크리스마스 마켓 (여의도동)","2017-12-12","운영중","","","","","9.00","150010","","","2017","N","9","휴게음식점","푸드트럭","","","194130.21270900000  ","447430.46500200000  ","3180000-104-2017-00345","영업","2018-04-26"
"406","Ya!먹자","서울특별시 종로구 세종로 1-68번지 ","서울특별시 종로구 세종대로 지하 172 (세종로)","2017-08-16","운영중","","","","","9.00","110820","","","2017","N","9","휴게음식점","푸드트럭","","","197949.42580200000  ","452453.63418600000  ","3000000-104-2017-00161","영업","2018-04-26"
"407","레스토랑","서울특별시 강남구 삼성동 159-1번지 ","서울특별시 강남구 영동대로 513 지상1층 (삼성동 코엑스)","2017-08-25","운영중","","","","","4.89","135090","","","2017","N","4.89","휴게음식점","푸드트럭","","","205230.34201100000  ","445818.07172100000  ","3220000-104-2017-00597","영업","2018-04-26"
"408","청년 스테이크","서울특별시 서초구 반포동 115-5번지 반포한강공원 ","서울특별시 서초구 신반포로11길 40 (반포동 반포한강공원)","2017-09-13","운영중","","","","","10.00","137040","","","2017","N","10","휴게음식점","푸드트럭","","","199357.32032600000  ","445358.07046700000  ","3210000-104-2017-00406","영업","2018-04-26"
"409","아임레디(I'm Reddy)","서울특별시 마포구 성산동 533-1번지 ","서울특별시 마포구 월드컵로 235 (성산동 마포농수산물시장내)","2017-09-21","운영중","","","","","11.50","121849","","","2017","N","11.5","휴게음식점","푸드트럭","","","191031.13794300000  ","451745.28087500000  ","3130000-104-2017-00351","영업","2018-04-26"
"410","알앤컵","서울특별시 마포구 성산동 533-1번지 ","서울특별시 마포구 월드컵로 235 (성산동 마포농수산물시장내)","2017-09-21","운영중","","","","","11.50","121849","","","2017","N","11.5","휴게음식점","푸드트럭","","","191031.13794300000  ","451745.28087500000  ","3130000-104-2017-00352","영업","2018-04-26"
"411","브라더또띠아","서울특별시 강북구 번동 83-2번지 ","서울특별시 강북구 월계로 173 (번동 북서울꿈의숲 지정장소)","2017-10-10","운영중","","","","","10.00","142861","","상수도전용","2017","N","10","휴게음식점","푸드트럭","","","203913.16664600000  ","458222.02376500000  ","3080000-104-2017-00101","영업","2018-04-26"
"412","리틀하바나","서울특별시 강북구 번동 83-2번지 ","서울특별시 강북구 월계로 173 (번동 북서울꿈의숲 지정장소)","2017-10-10","운영중","","","","","10.00","142861","","상수도전용","2017","N","10","휴게음식점","푸드트럭","","","203913.16664600000  ","458222.02376500000  ","3080000-104-2017-00102","영업","2018-04-26"
"413","핫플","서울특별시 서초구 서초동 1318-11번지 강남역 910번 출구 외 2개소 ","","2016-06-08","운영중","","","","","10.00","137856","","","2016","Y","10","휴게음식점","푸드트럭","","","202324.713141       ","443985.094905       ","3210000-104-2016-00237","영업","2018-04-26"
"414","청춘 소불고기 샌드위치","서울특별시 서초구 서초동 1318-11번지 강남역 910번 출구 외 2개소 ","","2016-06-15","운영중","","","","","10.00","137856","","","2016","Y","10","휴게음식점","푸드트럭","","","202324.713141       ","443985.094905       ","3210000-104-2016-00245","영업","2018-04-26"
"415","크리미요기","서울특별시 영등포구 여의도동 8번지 여의도한강공원 물빛광장(96무9292) ","서울특별시 영등포구 여의동로 330 (여의도동 여의도한강공원 물빛광장(96무9292))","2016-05-31","운영중","","","","","9.00","150010","","","2016","N","9","휴게음식점","푸드트럭","","","194130.21270900000  ","447430.46500200000  ","3180000-104-2016-00182","영업","2018-04-26"
"416","꼬치함보자","서울특별시 영등포구 여의도동 8번지 여의도한강공원 물빛광장(87마7695) ","서울특별시 영등포구 여의동로 330 (여의도동 여의도한강공원 물빛광장(87마7695))","2016-05-31","운영중","","","","","9.00","150010","","","2016","N","9","휴게음식점","푸드트럭","","","194130.21270900000  ","447430.46500200000  ","3180000-104-2016-00183","영업","2018-04-26"
"417","소극장","서울특별시 영등포구 여의도동 8번지 여의도한강공원 물빛광장(80마8232) ","서울특별시 영등포구 여의동로 330 (여의도동 여의도한강공원 물빛광장(80마8232))","2016-05-31","운영중","","","","","9.00","150010","","","2016","N","9","휴게음식점","푸드트럭","","","194130.21270900000  ","447430.46500200000  ","3180000-104-2016-00188","영업","2018-04-26"
"418","길보드커피(87고6500)","서울특별시 마포구 성산동 390-1번지 ","서울특별시 마포구 월드컵로 243-48 (성산동 평화의공원내)","2016-09-29","운영중","","","","","9.40","121850","","","2016","N","9.4","휴게음식점","푸드트럭","","","190980.13383800000  ","451531.59051000000  ","3130000-104-2016-00318","영업","2018-04-26"
"419","THE FILL(더필)","서울특별시 서초구 반포동 115-5번지 반포한강공원 달빛광장 ","서울특별시 서초구 신반포로11길 40 (반포동 반포한강공원 달빛광장)","2017-07-21","운영중","","","","","10.00","137040","","","2017","N","10","휴게음식점","푸드트럭","","","199357.32032600000  ","445358.07046700000  ","3210000-104-2017-00332","영업","2018-04-26"
"420","뚜레쥬르(87조 2992)","서울특별시 서대문구 신촌동 134번지 연세대학교 대강당앞 ","서울특별시 서대문구 연세로 50 (신촌동)","2016-10-24","운영중","","","","","","120140","","","2016","N","0","휴게음식점","푸드트럭","","02-1577-0700","195227.16856600000  ","452804.37559900000  ","3120000-104-2016-00184","영업","2018-04-26"
"421","추억의 국민학교 떡볶이","서울특별시 중구 태평로2가 360-1번지 세종대로사거리 ","서울특별시 중구 세종대로 93 (태평로2가 세종대로사거리)","2016-09-26","운영중","","","","","3.00","100102","","","2016","N","3","휴게음식점","푸드트럭","","070-5015-5062","197935.05331200000  ","451685.64816400000  ","3010000-104-2016-00316","영업","2018-04-26"
"422","토시킹","서울특별시 서초구 반포동 115-5번지 반포한강공원 ","서울특별시 서초구 신반포로11길 40 (반포동 반포한강공원)","2016-09-20","운영중","","","","","10.00","137040","","","2016","N","10","휴게음식점","푸드트럭","","","199357.32032600000  ","445358.07046700000  ","3210000-104-2016-00366","영업","2018-04-26"
"423","고인돌떡갈비","서울특별시 노원구 하계동 21번지 서울시립과학관 푸드트럭 3번 ","서울특별시 노원구 한글비석로 160 (하계동 서울시립과학관 푸드트럭 3번)","2017-05-19","운영중","","","","","10.00","139869","","","2017","N","10","휴게음식점","푸드트럭","","","206694              ","459948              ","3100000-104-2017-00104","영업","2018-04-26"
"424","푸드트럭한끼","서울특별시 중랑구 묵동 378번지 ","서울특별시 중랑구 중랑천로 332 (묵동 중랑천)","2017-04-27","운영중","","","","","8.00","131854","","","2017","N","8","휴게음식점","푸드트럭","","","206520.78360700000  ","457249.18030000000  ","3060000-104-2017-00045","영업","2018-04-26"
"425","차군식당","서울특별시 서초구 반포동 115-5번지 ","서울특별시 서초구 신반포로11길 40 (반포동 달빛공원)","2017-05-15","운영중","","","","","10.00","137040","","","2017","N","10","휴게음식점","푸드트럭","","","199357.32032600000  ","445358.07046700000  ","3210000-104-2017-00217","영업","2018-04-26"
"426","별담은 달그릇","서울특별시 중랑구 묵동 378번지 ","서울특별시 중랑구 중랑천로 332 (묵동 중랑천)","2017-04-26","운영중","","","","","10.00","131854","","","2017","N","10","휴게음식점","푸드트럭","","","206520.78360700000  ","457249.18030000000  ","3060000-104-2017-00043","영업","2018-04-26"
"427","바깥부엌","서울특별시 종로구 서린동 43-3번지 청계천로 보행전용도로 ","","2017-05-18","운영중","","","","","9.00","110110","","","2017","N","9","휴게음식점","푸드트럭","","","198332.884663       ","451862.244367       ","3000000-104-2017-00114","영업","2018-04-26"
"428","Veteran(베테랑)","서울특별시 종로구 서린동 43-3번지 청계천로보행전용거리(무교동사거리~광교사거리) ","","2017-05-18","운영중","","","","","9.00","110110","","","2017","N","9","휴게음식점","푸드트럭","","","198332.884663       ","451862.244367       ","3000000-104-2017-00116","영업","2018-04-26"
"429","Rollick food(롤릭푸드)","서울특별시 은평구 녹번동 5-29번지 서울혁신센터 ","서울특별시 은평구 통일로 684 (녹번동 서울혁신센터)","2017-05-12","운영중","","","","","10.00","122824","","","2017","N","10","휴게음식점","푸드트럭","","","194290.10277500000  ","456660.65029200000  ","3110000-104-2017-00090","영업","2018-04-26"
"430","올스테이블","서울특별시 영등포구 여의도동 85번지 여의도한강공원 녹음수광장(81두6452) ","","2017-07-27","운영중","","","","","9.00","150897","","","2017","N","9","휴게음식점","푸드트럭","","","194300.99365        ","446999.146157       ","3180000-104-2017-00206","영업","2018-04-26"
"431","풀잎채","서울특별시 영등포구 여의도동 85-1번지 이랜드크루즈 선착장 앞 둔치(82수3957) ","서울특별시 영등포구 여의동로 290 (여의도동 이랜드크루즈 선착장 앞 둔치(82수3957))","2017-07-20","운영중","","","","","9.00","150897","","","2017","N","9","휴게음식점","푸드트럭","","","194555.73440100000  ","447370.94940600000  ","3180000-104-2017-00197","영업","2018-04-26"
"432","GRAB A BITE","서울특별시 중구 장충동2가 산 14-67번지 국립중앙극장 문화광장 ","서울특별시 중구 장충단로 59 (장충동2가 국립중앙극장 문화광장)","2017-07-05","운영중","","","","","3.30","100857","","","2017","N","3.3","휴게음식점","푸드트럭","","","200043.44200200000  ","450497.40187300000  ","3010000-104-2017-00222","영업","2018-04-26"
"433","쏭앤","서울특별시 송파구 잠실동 1-1번지 ","서울특별시 송파구 한가람로 65 (잠실동 잠실한강공원 (푸드트럭))","2017-07-21","운영중","","","","","10.00","138889","","","2017","N","10","휴게음식점","푸드트럭","","","207667.93851400000  ","446464.09794000000  ","3230000-104-2017-00323","영업","2018-04-26"
"434","인디커피 푸드트럭","서울특별시 송파구 잠실동 1-1번지 ","서울특별시 송파구 한가람로 65 (잠실동 잠실한강지구 백사장일대)","2017-07-21","운영중","","","","","10.00","138889","","","2017","N","10","휴게음식점","푸드트럭","","","207667.93851400000  ","446464.09794000000  ","3230000-104-2017-00327","영업","2018-04-26"
"435","런던솜사탕","서울특별시 영등포구 여의도동 85-1번지 한강아라호 선착장 일대(90너9909) ","서울특별시 영등포구 여의동로 290 (여의도동 한강아라호 선착장 일대(90너9909))","2017-08-01","운영중","","","","","9.00","150897","","","2017","N","9","휴게음식점","푸드트럭","","","194555.73440100000  ","447370.94940600000  ","3180000-104-2017-00210","영업","2018-04-26"
"436","레커(Lecker)","서울특별시 노원구 하계동 21번지 서울시립과학관 푸드트럭 3호 ","서울특별시 노원구 한글비석로 160 (하계동 서울시립과학관 푸드트럭 3호)","2017-05-31","운영중","","","","","10.00","139869","","","2017","N","10","휴게음식점","푸드트럭","","","206694              ","459948              ","3100000-104-2017-00115","영업","2018-04-26"
